Restaurant_Name,Cuisine,Price,Rating
Kanagio,Seafood | Greek,-,4.5 of 5 bubbles
Palia Istoria,Greek,-,4.5 of 5 bubbles
Taverna tis Elektras,Cafe | Mediterranea | Greek,$,4.5 of 5 bubbles
Villa des Arts,,$$ - $$$,4.5 of 5 bubbles
Binelikakia,Greek | Mediterranea,$,5 of 5 bubbles
Nesaki,,-,4.5 of 5 bubbles
Papoutsomenos Ntakos,Greek,-,4 of 5 bubbles
Bristol Drink & Dine,International | Mediterranea,$$ - $$$,4.5 of 5 bubbles
Kalamakia & Souvlakia,,-,5 of 5 bubbles
Gymnastirion,Fast Food | Greek,$,4 of 5 bubbles
The Kings Pub,Mexica | America,$$ - $$$,5 of 5 bubbles
Just Veronesi,Cafe,-,4 of 5 bubbles
Biraeti,,-,5 of 5 bubbles
Beata's Orange Juice Bar,,-,5 of 5 bubbles
Ovelistirio Boukitsa,,-,5 of 5 bubbles
Baraki,Greek,$$ - $$$,3.5 of 5 bubbles
Adama Restaurant,,-,4 of 5 bubbles
Tre Hjartan,Europea | Greek,-,4 of 5 bubbles
O Platanos tis Splantzias,Mediterranea | Greek,-,4.5 of 5 bubbles
Votsalo Snack Bar,Cafe | Greek,-,5 of 5 bubbles
Ta Gourounakia,,-,4 of 5 bubbles
Christofer and George,Mediterranea | Greek,$$ - $$$,3.5 of 5 bubbles
Afoi Simantirakis,Greek,-,5 of 5 bubbles
Pentagono Cafe,,-,4.5 of 5 bubbles
Pizza Fan,Italia | Pizza,-,4.5 of 5 bubbles
